Id;Date_naissance;Sexe;Job;Emploi_actuel;Logement;Duree_Residence;Proprietaire;Telephone;Historique_credit;Nb_credit_existants;Compte_courant;Compte_cheque;Motif_credit;Montant_credit;Duree_credit_en_mois;Garants;Autres_acomptes;Typologie_client
1;13/05/1951;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Bien immobilier;1;Compte critique / Autres credits (autre banque);2;< 0EUR;Compte cheque inconnu;Radio/Television;1169;6;0;;Bon client
2;28/04/1996;Femme;Qualifie/fonctionnaire;1-4 ans;Proprietaire;2;Bien immobilier;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Radio/Television;5951;48;0;;Mauvais client
3;14/06/1969;Homme;Non qualifie;4 a 7 ans;Proprietaire;3;Bien immobilier;0;Compte critique / Autres credits (autre banque);1;Pas de compte courant;< 100 EUR;Education;2096;12;0;;Bon client
4;30/09/1973;Homme;Qualifie/fonctionnaire;4 a 7 ans;Logement gratuit;4;Accord de construction;0;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Mobilier /equipements;7882;42;1;;Bon client
5;06/02/1965;Homme;Qualifie/fonctionnaire;1-4 ans;Logement gratuit;4;Inconnu/Pas de propriete;0;Au moins un retard de paiement;2;< 0EUR;< 100 EUR;Car (new);4870;24;0;;Mauvais client
6;13/04/1983;Homme;Non qualifie;1-4 ans;Logement gratuit;4;Inconnu/Pas de propriete;1;Pas de credit/credit rembourse;1;Pas de compte courant;Compte cheque inconnu;Education;9055;36;0;;Bon client
7;16/12/1965;Homme;Qualifie/fonctionnaire;>=7 ans;Proprietaire;4;Accord de construction;0;Pas de credit/credit rembourse;1;Pas de compte courant;500-1000 EUR;Mobilier /equipements;2835;24;0;;Bon client
8;10/09/1983;Homme;Tres qualifie/independants;1-4 ans;Location;2;Voiture ou autre;1;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Car (used);6948;36;0;;Bon client
9;09/09/1957;Homme;Non qualifie;4 a 7 ans;Proprietaire;4;Bien immobilier;0;Pas de credit/credit rembourse;1;Pas de compte courant;>=1000 EUR;Radio/Television;3059;12;0;;Bon client
10;24/01/1990;Homme;Tres qualifie/independants;Sans emploi;Proprietaire;2;Voiture ou autre;0;Compte critique / Autres credits (autre banque);2;0-200 EUR;< 100 EUR;Car (new);5234;30;0;Aucun;Mauvais client
11;04/12/1993;Femme;Qualifie/fonctionnaire;< 1 an;Location;1;Voiture ou autre;0;Pas de credit/credit rembourse;1;0-200 EUR;< 100 EUR;Car (new);1295;12;0;;Mauvais client
12;22/02/1994;Femme;Qualifie/fonctionnaire;< 1 an;Location;4;Accord de construction;0;Pas de credit/credit rembourse;1;< 0EUR;< 100 EUR;Affaires;4308;48;0;;Mauvais client
